ad_id,advertiser,category,ad_title,ad_description,is_job_listing,job_category,compensation,creation_date,budget,targeting_strategy,ad_format,ad_objective,target_interests,protected_attr_score,age_group_18-24_targeting_weight,age_group_25-34_targeting_weight,age_group_35-44_targeting_weight,age_group_45-54_targeting_weight,age_group_55-64_targeting_weight,age_group_65+_targeting_weight,gender_Male_targeting_weight,gender_Female_targeting_weight,gender_Non-binary_targeting_weight,ethnicity_White_targeting_weight,ethnicity_Black_targeting_weight,ethnicity_Hispanic_targeting_weight,ethnicity_Asian_targeting_weight,ethnicity_Indigenous_targeting_weight,ethnicity_Other_targeting_weight,socioeconomic_status_Low_targeting_weight,socioeconomic_status_Medium_targeting_weight,socioeconomic_status_High_targeting_weight,disability_status_None_targeting_weight,disability_status_Physical_targeting_weight,disability_status_Cognitive_targeting_weight,disability_status_Sensory_targeting_weight,disability_status_Multiple_targeting_weight,geo_score,Northeast_targeting_weight,Southeast_targeting_weight,Midwest_targeting_weight,Southwest_targeting_weight,West_targeting_weight,device_score,mobile_targeting_weight,desktop_targeting_weight,apple_targeting_weight,android_targeting_weight,behavior_score,high_engagement_weight,high_value_weight,loyal_visitor_weight
10,Young-Vega,Travel,"Burke, Mann and Frazier Travel Product","Establish behind respond focus everybody.
Garden concern cover former. Teacher all stock drop wind above. Herself idea fund together record visit last.",0,,,2025-04-27,Medium,Specific,Video,Consideration,"Technology,Sports,Travel",0.30212388941603197,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4697876110583968,0.5,0.5302123889416032,0.5,0.5,0.5,0.5,0.5,0.2068451051513822,0.5,0.5,0.5,0.5,0.5,0.8491604457233697,0.5,0.5,0.5,0.5,0.564849988523107,0.5564849988523107,0.5677819986227728,0.5
11,Nichols Group,Retail,Brown and Sons Retail Product,"Agent break safe pass he radio. People senior picture issue organization your.
Court rich region gas standard everything. Pass green wide. Never color after arrive born energy. Investment lay father.",0,,,2025-04-01,High,Specific,Interactive,Consideration,"Food,Technology",0.29990527279370416,0.5,0.5,0.5,0.5,0.5,0.5,0.49640113672647557,0.5035988632735244,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2494708773361024,0.5,0.5199576701868882,0.5199576701868882,0.5149682526401661,0.5,0.4976071380481636,0.5,0.5,0.5,0.5,0.7073252476131593,0.5,0.5,0.5
12,Martin PLC,Technology,"Davis, Williams and Smith Technology Offer",Reality whether TV mean four explain. Style energy already industry door. Family fish painting project summer usually girl.,0,,,2025-05-02,Low,Broad,Interactive,Traffic,"Sports,Health,Travel",0.25178947566384957,0.5,0.5,0.5,0.5,0.5,0.5,0.5030214737079662,0.4969785262920338,0.3,0.5030214737079662,0.4969785262920338,0.4969785262920338,0.5030214737079662,0.4969785262920338,0.4969785262920338,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45441598098394087,0.5,0.5,0.5,0.5,0.5,0.4228700216765361,0.5338296017341229,0.5,0.5,0.5,0.5205954254846339,0.5,0.5,0.5
13,Hubbard Inc,Automotive,Jackson Inc Automotive Service,"Drop spend later current perhaps paper simple. Culture home door third participant. Behind offer national development dream care.
Threat it play ten child example billion direction.",0,,,2025-03-15,Low,Specific,Interactive,Engagement,Arts,0.5638685863711407,0.5,0.5,0.5,0.5,0.5,0.5,0.5067664230364537,0.4932335769635463,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.44361314136288593,0.5,0.5563868586371141,0.5,0.5,0.5,0.5,0.5,0.8770872293412625,0.5,0.570166978347301,0.570166978347301,0.5526252337604758,0.5,0.01220260974634757,0.5,0.5,0.5,0.5,0.26076194879625725,0.5260761948796258,0.5312914338555509,0.5
14,"Crawford, Nunez and Miller",Entertainment,"Sellers, Garcia and Webb Entertainment Product",Form firm my consumer direction somebody nice. Crime will many democratic instead even business. Decide turn need sound foreign tree.,0,,,2025-03-28,Low,Specific,Text,Engagement,Arts,0.18036984317589266,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9918404288440038,0.5,0.5,0.5,0.5,0.5,0.25295961532213385,0.5202367692257707,0.5,0.5,0.5,0.8267859307761645,0.5,0.5,0.5
15,Watson-Stewart,Professional Services,Service Industry Position at Scott Inc,"Write dream would hotel level it threat. Send analysis police check just.
Full participant change. Adult name talk old special half. Behavior interview great three.",1,Service Industry,Medium,2025-04-25,High,Specific,Video,Consideration,"Fashion,Gaming",0.8319003125833536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3053112973218839,0.5305311297321884,0.5,0.5,0.5,0.5244249037857507,0.6178698507340386,0.5,0.5494295880587231,0.5,0.5,0.41870831221363836,0.5,0.5,0.5
16,Flores Group,Automotive,Walker LLC Automotive Offer,"Significant force past writer. Child class station nor music tree wear.
Benefit eye which but place yes office. May catch travel meeting. Real learn charge dark.",0,,,2025-03-02,Medium,Specific,Video,Engagement,"Health,Sports,Technology",0.051591716072397986,0.5,0.5,0.5,0.5,0.5,0.5,0.5006191005928687,0.4993808994071312,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.4948408283927602,0.5,0.5051591716072398,0.5,0.5,0.5,0.5,0.5,0.6068677811302792,0.5,0.5485494224904224,0.5485494224904224,0.5364120668678167,0.5,0.6956544339291119,0.5,0.5,0.5,0.5,0.38998148711773895,0.5389981487117739,0.5467977784541287,0.5
17,Alexander-Morris,Professional Services,Service Industry Position at Brown PLC,Wind give continue region support produce inside. Age believe which hot with part write. Where media admit animal agreement heavy yeah. Line assume tough skin.,1,Service Industry,Medium,2025-04-03,Medium,Broad,Text,Consideration,"Fashion,Finance,Gaming",0.9450663221585448,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.816174754303865,0.5816174754303864,0.5,0.5,0.5,0.5652939803443092,0.041043453209379854,0.5,0.5032834762567504,0.5,0.5,0.023321407589214305,0.5,0.5,0.5
18,Hunter-Olson,Entertainment,Jackson Ltd Entertainment Offer,"Sign watch citizen note low act. Subject sound nor need.
Dream woman charge under situation. Onto everybody back thought will.",0,,,2025-04-17,High,Specific,Video,Awareness,Travel,0.6245544609405081,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4215903411791905,0.5,0.5,0.5,0.5,0.5,0.8266304573346779,0.5661304365867742,0.5,0.5,0.5,0.4284740884368029,0.5,0.5,0.5
19,Gonzalez and Sons,Entertainment,Wright-Leonard Entertainment Service,"Both family chair woman protect. Chair security successful why.
It test political action town should worry. Within for practice indeed.
Ago away east send they other. Beyond book film.",0,,,2025-04-17,Low,Specific,Video,Engagement,"Education,Gaming,Food",0.3121121789262653,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.258156783463114,0.5,0.5,0.5,0.5,0.5,0.6802881358492816,0.5544230508679425,0.5,0.5,0.5,0.9941246227460243,0.5,0.5,0.5
20,"Gonzalez, Crane and Mercer",Home Services,"Bailey, Leblanc and Jackson Home Services Service","Lay teacher song relationship real how large. Behavior message send big sing.
Upon already movie forward. Cold clearly development really TV town else. Subject pattern tough look bring.",0,,,2025-03-18,Low,Specific,Interactive,Engagement,Arts,0.4372953077036906,0.5,0.5,0.5,0.5,0.5,0.5,0.4947524563075557,0.5052475436924443,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7869028934776973,0.5,0.5,0.5,0.5,0.5,0.6422542655528151,0.5,0.5,0.5,0.5,0.5515840062560036,0.5,0.5,0.5
21,Hill Ltd,Professional Services,Entry Level Position at Johnston-Cunningham,"Explain a reason treatment full kitchen. Foreign effort skin treatment land.
Either mind along dark easy simple. Space image government minute.",1,Entry Level,Low,2025-03-11,Low,Specific,Image,Traffic,"Fashion,Food",0.3929959799597341,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38259904681804624,0.5382599046818046,0.5,0.5,0.5,0.5306079237454437,0.899187050856819,0.5,0.5719349640685455,0.5,0.5,0.36922490567560884,0.5,0.5,0.5
22,Combs Inc,Retail,"Ward, Howe and Shaw Retail Offer","Financial put sure law personal then. Product recently number lay.
Sure bed lawyer. Inside responsibility cost lose TV speak. Sense east method form.",0,,,2025-04-15,Medium,Specific,Text,Consideration,Finance,0.6389636662746017,0.5,0.5,0.5,0.5,0.5,0.5,0.4923324360047048,0.5076675639952952,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2122909172151869,0.5,0.516983273377215,0.516983273377215,0.5127374550329112,0.5,0.24134914157473708,0.5,0.5,0.5,0.5,0.3412624931167286,0.5,0.5,0.5
23,Romero-Hardin,Automotive,"Gross, Maldonado and Davis Automotive Offer","State firm act. Here society staff budget. Of lead middle newspaper.
Light simple across main of center job entire.",0,,,2025-02-20,Low,Specific,Video,Consideration,"Arts,Finance,Sports",0.12025036289784896,0.5,0.5,0.5,0.5,0.5,0.5,0.5014430043547742,0.4985569956452258,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.4879749637102151,0.5,0.5120250362897849,0.5,0.5,0.5,0.5,0.5,0.7347675281229329,0.5,0.5587814022498346,0.5587814022498346,0.544086051687376,0.5,0.6456233714756221,0.5,0.5,0.5,0.5,0.015503373928055897,0.5015503373928056,0.5018604048713667,0.5
24,"Cox, Navarro and Robbins",Automotive,Smith LLC Automotive Offer,"Page represent you child small hot. Stuff discussion room meet.
Stage property instead. Top southern great myself. Current however grow my teach. Gas education decide wife artist chair.",0,,,2025-04-09,Low,Broad,Carousel,Traffic,"Health,Finance",0.7082517458550163,0.5,0.5,0.5,0.5,0.5,0.5,0.5084990209502602,0.49150097904973983,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.42917482541449836,0.5,0.5708251745855016,0.5,0.5,0.5,0.5,0.5,0.5557933928238449,0.5,0.5444634714259076,0.5444634714259076,0.5333476035694307,0.5,0.14692720337770981,0.5,0.5,0.5,0.5,0.8292340544546547,0.5829234054454655,0.5995080865345586,0.5
